code,title,description,lithology,span,lithology
QTsbk,Block slide deposits,Large block slide deposits in the Coso and Panamint Ranges. Two large-block slide deposits of granitic rock occur on the northwest edge of the Coso Range south of the Owens Dry Lake. Large block slides are also present in the Panamint Range south of Wildrose Canyon. Thickness about 12 to 50 m,,Pleistocene and late Pliocene,
Qaa,Active alluvial fan deposit,"Alluvial fan deposits characterized by surfaces and wash channels that are active, eroding, or received stream transported deposits within the last few decades or as much as a century. Unconsolidated. Prone to active flooding. Composed of moderately to poorly sorted silt, coarse and fine sand, gravel, cobbles, and rare boulders. Generally lacks vegetation (commonly active on annual basis) or moderately vegetated (active on decadal basis). Rough microtopography; strongly developed gravel bar and swale. The annually active surfaces are typically a small part of the unit, and they form discrete channels. Very little or no desert varnish on clasts. Little or no soil development",,Holocene,
Qaa1,"Active alluvial fan deposit, intermediate",Active alluvial fan deposit where characteristics are intermediate between Qaa and Qya. Thickness probably 1 to 2 m,,Holocene,
Qaae,"Active alluvial fan deposit, eolian-reworked",Active alluvial fan deposit where eolian reworking of silt and sand is predominant; sub-unit of Qaa,,Holocene,
Qae,Active eolian deposit,"Eolian sand deposits that are active and subject to migration. Unconsolidated. Generally lacks vegetation. Composed of light yellowish-buff colored, moderately to well sorted fine and medium sand and silt; commonly crossbedded or laminated. No soil development. Maximum thickness about 25 m",,Holocene,
Qaed,Active eolian dune deposit,"Dune morphology distinctive. Active eolian sand deposits that are subject to migration. Unconsolidated. Generally lacks vegetation. Composed of light yellowish-buff colored, moderately to well-sorted fine- and medium-grained sand and silt; commonly crossbedded or laminated. No soil development. Maximum thickness about 25 m",,Holocene,
Qag,Active groundwater discharge deposit,Silt and fine sand in moist zones of groundwater discharge. Compact. Abundant vegetation. Thickness unknown,,Holocene,
Qags,"Active groundwater discharge deposit, spring mound",Spring mound deposits in zones of active groundwater discharge,,Holocene,
Qags?,"Active groundwater discharge deposit, spring mound, uncertain",Spring mound deposits in zones of active groundwater discharge,,Holocene,
Qagw,"Active groundwater discharge deposit, wetland",Wetland deposits in zones of active groundwater discharge,,Holocene,
Qagw?,"Active groundwater discharge deposit, wetland, uncertain",Wetland deposits in zones of active groundwater discharge,,Holocene,
Qao,Old alluvial deposit,"Old alluvial deposits; compact to cemented. Composed of moderately to poorly sorted silt, coarse and fine sand, gravel, cobbles, and rare boulders. Forms dissected terrain above active washes",,Pleistocene,alluvium
Qap,Active playa deposit,"Playa deposits that are active and have received flood deposits within the last few decades. Generally composed of poorly sorted clay, silt, and fine to coarse sand; evaporites common. Compact. Generally pale buff white to buff colored; may be massive or thin bedded and laminated. Prone to flooding. Generally flat, with little or no vegetation. Common saline crusts. Thickness ranges from 10 to 30 cm",,Holocene,
Qap?,"Active playa deposit, uncertain","Playa deposits that are active and have received flood deposits within the last few decades. Generally composed of poorly sorted clay, silt, and fine to coarse sand; evaporites common. Compact. Generally pale buff white to buff colored; may be massive or thin bedded and laminated. Prone to flooding. Generally flat, with little or no vegetation. Common saline crusts. Thickness ranges from 10 to 30 cm",,Holocene,
Qapd,Pediment surfaces,Erosional surface in various stages of active erosion and burial,,middle and late Quaternary,
Qapf,Active playa fringe,"Active playa fringe with complexly mixed eolian, lacustrine, playa, alluvial, and groundwater discharge deposits",,Holocene,
Qaps,"Active playa deposit, sandy facies",Sandy facies of active playa deposit; typically supports sparse vegetation,,Holocene,
Qash,Volcanic ash,"Pyroclastic deposits, rhyolitic ash, pumice and obsidian (apache teardrops) and friable or nonlithified tuff deposited in the basins surrounding the Coso Geothermal area, locally reworked, equivalent to unit Qrp of Duffield and Bacon (1981). One of the younger large rhyolitic extrusives, Sugarloaf Mountain, has been dated as 44+22 ka. Unconformably overlies basement rocks. Thickness variable",,Quaternary,
Qash?,"Volcanic ash, uncertain","Pyroclastic deposits, rhyolitic ash, pumice and obsidian (apache teardrops) and friable or nonlithified tuff deposited in the basins surrounding the Coso Geothermal area, locally reworked, equivalent to unit Qrp of Duffield and Bacon (1981). One of the younger large rhyolitic extrusives, Sugarloaf Mountain, has been dated as 44+22 ka. Unconformably overlies basement rocks. Thickness variable",,Quaternary,
Qasl,Active saline lake deposit,"Poorly sorted clay, silt, and fine sand in zones of groundwater discharge. Generally pale gray-green colored; thin bedded or laminated. Evaporites common at surface. Thickness ranges from 10 to 40 cm",,Holocene,
Qau,"Alluvial fan deposit, undifferentiated","Alluvial fan deposits, undifferentiated. Composed of moderately to poorly sorted silt, coarse and fine sand, gravel, cobbles, and rare boulders; moderately to poorly stratified. Thickness ranges from 0.5 to 35 m",,Quaternary,
Qav,Active valley-axis deposit,"Fine-grained deposits in valley axes characterized by anastamosing washes and gentle interfluves, primarily transported by water; locally reworked by wind activity to form complex interfingering eolian deposits. Composed of moderately to poorly sorted cobbles, pebbles, buff or light-colored fine to coarse sand, and silt, but dominated by pebbles and finer grained sediment. Boulders generally very rare or absent. Unconsolidated. Prone to active flooding. Moderately vegetated. Interfingers with Qaw and Qaa. Thickness probably 1 to 2 m",,Holocene,alluvium
Qaw,Active wash deposit,"Alluvial wash deposits characterized by surfaces and wash channels that are active and have received alluvial deposits within the last few decades to a century. Composed of moderately to poorly sorted buff-colored silt, coarse and fine sand, gravel, cobbles, and rare boulders. Unconsolidated. Prone to active flooding. Light to moderately vegetated. Little or no soil development. Interfingers with Qav and Qaa. Thickness probably 1 to 2 m",,Holocene,
Qb,Basalt and other mafic volcanic rocks,Mainly small volume basaltic cinder cone and local flows southwest of Coso Range. One flow north of Little Lake gives a K/Ar age of 0.140+0.89 Ma and other nearby flow gives 1.08+0.06 and 2.06+0.34 Ma. Unconformably overlies basement rocks where exposed and overlain by late Quaternary alluvium. Thickness variable,,mainly Quaternary,
Qc,Colluvial deposits,"Colluvium and talus, poorly sorted, angular clasts, generally gritty sand, gravel, cobble and boulder sized, clast supported, may be nonbedded or crudely stratified. Commonly unvarnished to moderately varnished clasts. Unconsolidated. May be infilled with eolian material. May be locally reworked by debris flow activity. Thickness ranges from 0.25 m to tens of meters",,Holocene and Pleistocene,
Qc?,"Colluvial deposits, uncertain","Colluvium and talus, poorly sorted, angular clasts, generally gritty sand, gravel, cobble and boulder sized, clast supported, may be nonbedded or crudely stratified. Commonly unvarnished to moderately varnished clasts. Unconsolidated. May be infilled with eolian material. May be locally reworked by debris flow activity. Thickness ranges from 0.25 m to tens of meters",,Holocene and Pleistocene,
Qia,Intermediate alluvial fan deposit,"Alluvial fan deposits characterized by surfaces that have been abandoned by active stream or wash activity. Unconsolidated to compacted or cemented. Composed of moderately to poorly sorted silt, coarse and fine sand, gravel, cobbles, and rare boulders; moderately to poorly stratified. Characterized by moderately to well developed desert pavement with moderate to strong desert varnish on clasts dominated by manganese oxide on the top of clasts and iron oxide on the base. Eolian silts and clays underlying cobbles on pavement surface are commonly stained with iron oxides. Flat smooth pavement surface may be partly incised by narrow channels or rills. Sparsely vegetated. Well-developed silty Av horizon. Moderately to strongly developed Bt horizon and weak to strong Stage I calcic horizon. Surfaces of deposits range from 0.5 to 10 m above active wash",,late to middle Pleistocene,
Qia?,"Intermediate alluvial fan deposit, uncertain","Alluvial fan deposits characterized by surfaces that have been abandoned by active stream or wash activity. Unconsolidated to compacted or cemented. Composed of moderately to poorly sorted silt, coarse and fine sand, gravel, cobbles, and rare boulders; moderately to poorly stratified. Characterized by moderately to well developed desert pavement with moderate to strong desert varnish on clasts dominated by manganese oxide on the top of clasts and iron oxide on the base. Eolian silts and clays underlying cobbles on pavement surface are commonly stained with iron oxides. Flat smooth pavement surface may be partly incised by narrow channels or rills. Sparsely vegetated. Well-developed silty Av horizon. Moderately to strongly developed Bt horizon and weak to strong Stage I calcic horizon. Surfaces of deposits range from 0.5 to 10 m above active wash",,late to middle Pleistocene,
Qiae,Intermediate alluvial and mixed eolian deposit,"Eolian and alluvial deposits in near equal proportions with alluvial processes dominating. Alluvial channels muted or sand and pebble filled; deposit mostly sand with sparse gravel. Marked by flat surface, inconsistently developed pavement and Bt horizon. Moderately compact. Sparsely vegetated. Thickness ranges from about 0.5 m to 5 m",,late to middle Pleistocene,alluvium
Qiao,"Intermediate alluvial fan deposit, older","Alluvial fan deposits characterized by surfaces that have been abandoned. Unconsolidated to compacted. Composed of moderately to poorly sorted silt, coarse and fine sand, gravel, cobbles, and rare boulders; moderately to poorly stratified. Characterized by moderately to well developed desert pavement with moderate to strong desert varnish on clasts. Flat smooth surface is partly incised by narrow channels. Sparsely vegetated. Well-developed silty Av horizon. Moderately to strongly developed Bt horizon and Stage I+ to II+ calcic horizon. Surfaces of deposits range from 0.5 to 10 m above active wash",,late to middle Pleistocene,
Qibg,Intermediate lacustrine beach deposit,"Very well rounded, moderately sorted gravel to cobble deposits, commonly fossiliferous with locally very abundant gastropod and ostracode remains; cobbles occasionally rimmed with stromatolitic algal tufa; commonly associated with colonial charophytic algal tufa. Deposits are younger than Qoa (924 to 665 ka) near the former town of Ballarat and inferred to be about 150 to 180 ka or equivalent to marine oxygen isotope stage-6. Thickness ranges from about 2 to 15 m",,late to middle Pleistocene,
Qigw,Intermediate groundwater discharge deposit,"Silt, marl, and fine sand in former zones of groundwater discharge. Compact, may have carbonate cement or charophytic tufa present. Clastic sediments may be leached. Little vegetation, generally dissected. Occurs near outlet of McCloud Flat and China Gardens area and in the Wildrose graben area. Thickness ranges from about 0.5 to 15 m",,late to middle Pleistocene,
Qigw?,"Intermediate groundwater discharge deposit, uncertain","Silt, marl, and fine sand in former zones of groundwater discharge. Compact, may have carbonate cement or charophytic tufa present. Clastic sediments may be leached. Little vegetation, generally dissected. Occurs near outlet of McCloud Flat and China Gardens area and in the Wildrose graben area. Thickness ranges from about 0.5 to 15 m",,late to middle Pleistocene,
Qil,Intermediate lacustrine and deltaic deposits,"Lake or wetlands deposits; consists of clay, silt and medium to coarse sand, local conglomerate beds; thin bedded and laminated, locally crossbedded. May be marly or tufa-bearing in nearshore marsh or wetlands facies, may be mollusc-bearing with locally abundant gastropod beds. Siliceous tuffs and diatomite present locally in high-stand shorelines of Panamint Valley",,late to middle Pleistocene,
Qit,Intermediate nearshore tufa deposit,"Mainly charophytic or stromatolitic algal tufa, occasionally has colonial or reefal aspect; strongly indurated. Generally pale buff to pale pinkish-buff colored; may be laminated or tubular with secondary silicious lamina. In close spatial and temporal association with Qibg. Thickness ranges from about 5 cm to 3 m",,late to middle Pleistocene,
Qiw,Intermediate wash deposit,"Mainly consists of inactive alluvial wash deposits. Composed of moderately to poorly sorted silt, coarse and fine sand, gravel, cobbles, and rare boulders; moderately to poorly stratified. Unconsolidated to slightly compact. Weakly developed soil, expressed as incipient to weak sandy Av horizon and weak cambic horizons; stage I calcic soil typical. Fairly smooth microtopography with moderate to faint remnants of bar and swale topography. Moderately to sparsely vegetated, especially with creosote bush and smaller shrubs. Weak pavement on surface of deposit. Weak to moderate desert varnish on clasts. Surfaces of deposits range from 0.5 to 10 m above active wash",,late to middle Pleistocene,
Qls,Mass-movement deposits,"Landslide deposits; generally poorly sorted, matrix supported; generally blocks mixed with fine sediment. Commonly characterized by hummocky topography, lobate at the base. Generally unconsolidated. Thickness generally tens of meters",,Holocene and Pleistocene,
Qls?,"Mass-movement deposits, uncertain","Landslide deposits; generally poorly sorted, matrix supported; generally blocks mixed with fine sediment. Commonly characterized by hummocky topography, lobate at the base. Generally unconsolidated. Thickness generally tens of meters",,Holocene and Pleistocene,
Qoa,Old alluvial fan deposit,"Alluvial fan deposits characterized by degraded remnants of abandoned surfaces. Compact to cemented. Composed of moderately to poorly sorted silt, coarse and fine sand, gravel, cobbles, and rare boulders; moderately to poorly stratified. Moderately vegetated. Commonly forms pale-colored bahada above active washes in upper parts of alluvial fans near mountain fronts. Many clasts on surface commonly made up of disaggregated pieces of the pedogenic calcic horizon. Upper soil horizons may be stripped off by erosion. Forms rounded, deeply dissected terrain with little or no remnant depositional geomorphology; a few meters to tens of meters higher than surrounding surfaces. Surfaces of deposits range from about 6 to 150 m above active wash",,middle to early Pleistocene,
Qoa?,"Old alluvial fan deposit, uncertain","Alluvial fan deposits characterized by degraded remnants of abandoned surfaces. Compact to cemented. Composed of moderately to poorly sorted silt, coarse and fine sand, gravel, cobbles, and rare boulders; moderately to poorly stratified. Moderately vegetated. Commonly forms pale-colored bahada above active washes in upper parts of alluvial fans near mountain fronts. Many clasts on surface commonly made up of disaggregated pieces of the pedogenic calcic horizon. Upper soil horizons may be stripped off by erosion. Forms rounded, deeply dissected terrain with little or no remnant depositional geomorphology; a few meters to tens of meters higher than surrounding surfaces. Surfaces of deposits range from about 6 to 150 m above active wash",,middle to early Pleistocene,
Qoae,Old mixed alluvial and eolian deposit,"Old alluvial deposit with a thin veneer of eolian sand and silt. Poorly sorted, boulders, cobbles, coarse and fine sand, silt and clay. Forms smoother and lighter colored surfaces than alluvium lacking significant eolian sand. Depositional surface lies about 6 to 25 m above the active wash",,late to middle Pleistocene,alluvium
Qoc,Older colluvial deposits,"Older colluvium and talus, poorly sorted, angular clasts, generally gravel, cobble and boulder sized. Commonly moderately to strongly varnished or iron-stained. May be infilled with eolian material and may have Stage III, IV, or greater pedogenic calcite cement west of the Owens Valley. May have reddish argillaceous weathering on slopes flanking the Sierra Nevada on the west side of the quadrangle. Thickness ranges from 0.25 m to tens of meters",,Pleistocene,
Qog?,"Old groundwater discharge deposit, uncertain","Silt, marl, and fine sand in former zones of groundwater discharge. May have carbonate cement and laminated silica. Compact. Little vegetation, generally dissected. Thickness ranges from about 0.5 to 15 m",,middle Pleistocene or older,
Qogw,Old groundwater discharge deposit,"Silt, marl, and fine sand in former zones of groundwater discharge. May have carbonate cement and laminated silica. Compact. Little vegetation, generally dissected. Thickness ranges from about 0.5 to 15 m",,middle Pleistocene or older,
Qogw?,"Old groundwater discharge deposit, uncertain","Silt, marl, and fine sand in former zones of groundwater discharge. May have carbonate cement and laminated silica. Compact. Little vegetation, generally dissected. Thickness ranges from about 0.5 to 15 m",,middle Pleistocene or older,
Qol,"Old lacustrine, wetlands and playa deposits","Lake or wetlands deposits; consists of clay, silt and medium to coarse sand, local conglomerate beds; thin bedded and laminated, locally crossbedded. May be marly or tufa-bearing. Siliceous tuffs and porcelanite present in lake beds exposed in faulted horst blocks in southern Panamint Valley. Commonly whitish and pale grayish-green colored. Commonly thin-bedded, may be laminated. Maximum thickness probably exceeds 40 m",,middle to early Pleistocene,
Qsgp,Sag pond,"Fault controlled groundwater discharge, commonly ponded and marshy area adjacent to active faults; deposits occur along the Sierra Nevada Range front on the west side of the map area",,Holocene,
Qsm,Active saline marsh deposit,"Poorly sorted clay, silt, and fine sand in zones of groundwater discharge. Generally pale gray-green colored; thin bedded or laminated; intermittent standing saline water. Thickness ranges from 10 to 40 cm",,Holocene,
Qvu,"Volcanic rocks, rhyolitic","Rhyolitic lava flows and domes of obsidian covered by perlite; emplaced between 1.04 and 0.044 Ma, but most about 0.33 Ma. Intrusive or unconformably overlying basement rocks. Thickness variable",,Quaternary,
Qya,Young alluvial fan deposit,"Alluvial fan deposits characterized by alluvial surfaces that no longer receive materials. Unconsolidated to slightly compact. Composed of moderately to poorly sorted silt, coarse and fine sand, gravel, cobbles, and rare boulders; moderately to poorly stratified. Weakly developed soil, expressed as incipient to weak sandy Av horizon; stage I calcic soil typical. Distinct gravel bar and swale microtopography. Moderate to sparsely vegetated, with creosote bush and smaller desert shrubs. No desert pavement. Incipient to weak desert varnish on clasts. Thickness probably 2 to 6 m",,Holocene and late Pleistocene,
Qyae,Young mixed alluvial and eolian deposit,"Alluvial and eolian deposits with alluvial processes dominating. Tends to form flatter surfaces than strictly alluvial systems lacking significant eolian sand contribution, due to infilling of small scale bar and swale microtopography with fine sand and silt. Unconsolidated; sparsely vegetated. Little or no soil development. Maximum thickness about 5 m",,Holocene and latest Pleistocene,
Qyao,"Young alluvial fan deposit, older","Alluvial fan deposits characterized by surfaces that are no longer receiving sediment. Unconsolidated to slightly compact. Composed of moderately to poorly sorted silt, coarse and fine sand, gravel, cobbles, and rare boulders; moderately to poorly stratified. Weakly developed soil, expressed as incipient to weak sandy Av horizon and weak cambic horizons; stage I calcic soil typical. Undulatory microtopography, with moderate to faint remnants of bar and swale topography. Moderately to sparsely vegetated by creosote bush and smaller desert shrubs. No desert pavement or weak pavement on surface of deposit. Incipient to weak desert varnish on clasts. Thickness probably 2 to 6 m",,Holocene and late Pleistocene,
Qyaoe,"Young mixed alluvial and eolian deposit, slightly older",Slightly older alluvial and eolian deposits with alluvial processes dominating. Slightly incised; infilling of small scale bar and swale microtopography by unconsolidated sand and pebbles. Gravelly sand with vague to well-defined thin bedding. Unconsolidated; sparsely vegetated. Little or no soil development. Thickness ranges from about 0.5 m to 3 m,,Holocene and latest Pleistocene,
Qyb,Young lacustrine beach deposit,"Very well rounded, locally cross-bedded sand, and gravel to cobble deposits, commonly fossiliferous with locally very abundant Anodonta sp. (bivalve) and gastropod beds found near the margins of the Owens Dry Lake and gastropod-bearing horizons common in the intermediate to highstand deposits of Panamint Valley; also locally abundant ostracode remains; cobbles occasionally rimmed with stromatolitic algal tufa; in Owens Valley lower elevation shoreline locally oolitic; commonly associated with colonial charophytic algal tufa. Mainly 24 ka to recent in Owens Valley. Thickness ranges from 1 to 4 m",,Holocene to late Pleistocene,
Qyb?,"Young lacustrine beach deposit, uncertain","Very well rounded, locally cross-bedded sand, and gravel to cobble deposits, commonly fossiliferous with locally very abundant Anodonta sp. (bivalve) and gastropod beds found near the margins of the Owens Dry Lake and gastropod-bearing horizons common in the intermediate to highstand deposits of Panamint Valley; also locally abundant ostracode remains; cobbles occasionally rimmed with stromatolitic algal tufa; in Owens Valley lower elevation shoreline locally oolitic; commonly associated with colonial charophytic algal tufa. Mainly 24 ka to recent in Owens Valley. Thickness ranges from 1 to 4 m",,Holocene to late Pleistocene,
Qye,Young eolian deposit,"Eolian sand deposits that are generally inactive. Unconsolidated. Sparsely vegetated. Composed of light yellowish-buff colored, moderately to well sorted fine and medium sand and silt; commonly crossbedded or laminated. Little or no soil development. Maximum thickness about 15 m",,Holocene and latest Pleistocene,
Qygw,Young groundwater discharge deposit,"Silt and fine sand in zones of former groundwater discharge. May be marly or diatomaceous. Clastic sediments may be leached and whitish color. Unconsolidated to compact. Commonly forms light-colored, flat areas or dissected badlands. Little vegetation. Thickness ranges from about 0.5 to 5 m",,Holocene and latest Pleistocene,
Qygw?,"Young groundwater discharge deposit, uncertain","Silt and fine sand in zones of former groundwater discharge. May be marly or diatomaceous. Clastic sediments may be leached and whitish color. Unconsolidated to compact. Commonly forms light-colored, flat areas or dissected badlands. Little vegetation. Thickness ranges from about 0.5 to 5 m",,Holocene and latest Pleistocene,
Qyl,Young lacustrine deposit,"Lake deposits; consists of clay, silt and fine sand, may be marly in nearshore facies, commonly whitish, whitish-buff to pale gray green colored. Locally tuffaceous. Commonly thin-bedded, may be laminated. Mainly about 24 to 12 ka in Panamint Valley. Thickness ranges from about 1 to 4 m",,Holocene to late Pleistocene,
Qyl?,"Young lacustrine deposit, uncertain","Lake deposits; consists of clay, silt and fine sand, may be marly in nearshore facies, commonly whitish, whitish-buff to pale gray green colored. Locally tuffaceous. Commonly thin-bedded, may be laminated. Mainly about 24 to 12 ka in Panamint Valley. Thickness ranges from about 1 to 4 m",,Holocene to late Pleistocene,
Qyp,Young playa deposit,"Playa deposits that are occasionally flooded. Composed of silt, clay, and sand; evaporites common; may be massive or thin bedded and laminated. Generally pale buff white to buff colored. Compact. Generally flat, lacks vegetation. Thickness ranges from 10 to 40 cm",,Holocene and late Pleistocene,
Qysl?,"Young playa fringe, saline facies, uncertain","Playa fringe deposit, saline facies; fine-grained lacustrine and playa sediments in saline environment",,Holocene and late Pleistocene,
Qyw,Young wash deposit,"Infrequently active alluvial wash deposits composed of moderately to poorly sorted silt, coarse and fine sand, gravel, cobbles, and rare boulders. Anastamosing, well developed gravel and cobble bars and swales. Material transported by water. Unconsolidated. Moderately vegetated. May have very weak, dark or blackish desert varnish development on clasts. Weakly developed soil, expressed as incipient to weak sandy Av horizon; stage I calcic soil weak or absent. Thickness probably 2 to 4 m",,Holocene and late Pleistocene,alluvium
Qywl,"Young wash deposit, lower","Infrequently active alluvial wash deposits; lower elevation variant of Qyw. Composed of moderately to poorly sorted silt, coarse and fine sand, gravel, cobbles, and rare boulders. Thickness probably 2 to 4 m",,Holocene and late Pleistocene,
Tb,Mainly flood-like basalt flows and other mafic volcanic rocks,"Flood-like basalt flows, typically a few to several meters thick but commonly covering large areas on the order of several tens to hundreds of square miles; around 3 to 4 Ma in the southwestern part of the quadrangle, and 4 to 6 Ma in the northern and northeastern part of the quadrangle; and one locality in Rainbow Canyon gives a 7.2 Ma K/Ar age. Individual flows typically 3 to 5 m; thickness ranges from about 3 to 150 m",,Pliocene,
Tb?,"Mainly flood-like basalt flows and other mafic volcanic rocks, uncertain","Flood-like basalt flows, typically a few to several meters thick but commonly covering large areas on the order of several tens to hundreds of square miles; around 3 to 4 Ma in the southwestern part of the quadrangle, and 4 to 6 Ma in the northern and northeastern part of the quadrangle; and one locality in Rainbow Canyon gives a 7.2 Ma K/Ar age. Individual flows typically 3 to 5 m; thickness ranges from about 3 to 150 m",,Pliocene,
Tbc,Eruptive centers of basalt flows and other mafic volcanic rocks,Vent and near vent area of basalt flows and other mafic volcanic rocks,,Pliocene,
Tbc?,"Eruptive centers of basalt flows and other mafic volcanic rocks, uncertain",Vent and near vent area of basalt flows and other mafic volcanic rocks,,Pliocene,
Tbes,Old erosion surface developed on top of basalt,Gently sloping erosional surfaces developed on unit Tb in various stages of erosion and burial,,early or middle Pliocene,
Tbes?,"Old erosion surface developed on top of basalt, uncertain",Gently sloping erosional surfaces developed on unit Tb in various stages of erosion and burial,,early or middle Pliocene,
Tblag,Cobble lag deposit,"Thin, discontinuous scattering of basalt and residual clasts overlying the old erosion surface (Es)",,late Miocene and early Pliocene,
Tbpd,Pediment inset onto basalt,Erosional surfaces in various stages of erosion and burial inset into unit Tb and inferred to be mainly Quaternary age,,Quaternary and late Pliocene,
Tbpd?,"Pediment inset onto basalt, uncertain",Erosional surfaces in various stages of erosion and burial inset into unit Tb and inferred to be mainly Quaternary age,,Quaternary and late Pliocene,
Tca,"Mainly volcanic ash and tephra, Coso Formation","Friable whitish weathering, slope-forming siliceous volcanic ash, includes airfall pumice dated at about 3 Ma near the base of the unit on the west flank of the Coso Range. Unconformably overlies basement on an old erosion or peneplain surface. Generally 10 to 30 m thick and locally as thick as about 50 m",,Pliocene,
Tca?,"Mainly volcanic ash and tephra, Coso Formation, uncertain","Friable whitish weathering, slope-forming siliceous volcanic ash, includes airfall pumice dated at about 3 Ma near the base of the unit on the west flank of the Coso Range. Unconformably overlies basement on an old erosion or peneplain surface. Generally 10 to 30 m thick and locally as thick as about 50 m",,Pliocene,
Tcgl,Conglomerate,"Undifferentiated conglomerate, boulder conglomerate, or bouldery alluvium overlying 3 to 4 Ma basalt in the Coso Wash area. Locally includes granitic boulder lag. Thickness one to tens of meters",,Pliocene,
Tcla,"Lower volcanic ash and tephra, Coso Formation","Friable, whitish-weathering, slope-forming siliceous volcanic ash and pumice on the west flank of the Coso Range. Unconformably overlies basement on an old erosion or peneplain surface. Only mapped east of the southern extent of Haiwee Reservoir along the west flank of the Coso Range. Generally 10 to 30 m thick and locally as much as about 50 m",,Pliocene,
Tcpd,Pediment inset onto Coso Formation,Erosional surfaces in various stages of erosion and burial developed or inset onto unit Tcs,,Quaternary and late Pliocene,
Tcpd?,"Pediment inset onto Coso Formation, uncertain",Erosional surfaces in various stages of erosion and burial developed or inset onto unit Tcs,,Quaternary and late Pliocene,
