code,title,description,span,lithology
Jwa,Warm Spring Canyon Formation,"Andesite flow metabreccia. Breccia of clasts of dominantly andesite with lesser rhyolite in a dark gray aphanitic matrix (Cole, 1986). There is one lenticular sandstone within this. The total thickness is 367 m. A rhyolitic tuff protolith from the lower portion of this unit has a U-Pb age of 154 ± 7 Ma (Dunne et al., 1998).",Jurassic,
Jwb,Warm Spring Canyon Formation,"Limestone metabreccia. Cream to gray colored, generally tabular clasts of limestone in a very fine-grained dark gray clay matrix (Cole, 1986). Bedding is distinct, as thin to medium thicknesses that are gradational but generally fining upward. Other clasts observed are gneiss cobbles and hornblende meta-andesite clasts. The thickness varies (4–49 m thick) and is lenticular as exposed.",Jurassic,
Jwf,Warm Spring Canyon Formation,"Flow-banded meta-andesites. This unit is composed of flow-banded hornfels-facies meta-andesites, with two intervals of similar composition flow breccias (Cole, 1986). This is 182 m thick.",Jurassic,
Jwp,Warm Spring Canyon Formation,"Porphyritic meta-andesite. Massive meta-andesite, locally banded and also brecciated (Cole, 1986). Plagioclase phenocrysts are conspicuous throughout. This unit is locally sheared along its northernmost exposures in Warm Spring Canyon, and it is locally in fault contact with the Permian rock units. The thickness is at least 788 m, but the upper contact is not exposed.",Jurassic,
Ka,granite of Argus Peak,"Light gray, medium to coarse-grained, equigranular granite which locally contains abundant red-colored fine to coarse garnet phenocrysts. It intrudes the Stockwell Diorite and Copper Queen Canyon Granite. It has few deformation textures and thus weathers into large, well-rounded boulders that are preferentially transported greater distances down the alluvial surfaces along the western flank of the Slate Range.",Cretaceous,
Kbg,biotite granite,"Medium-grained biotite granite in central Slate Range. The area of exposure and contact relationships indicate that this unit is associated with the Early Jurassic Stockwell Diorite.",Jurassic,
Km,mylonite,"Mylonitic shear zone exposed on the crest of the central Slate Range. The shear zone mylonitizes Jurassic Stockwell Diorite and Copper Queen Canyon Granite. These mylonites have kinematic textures showing top-to-the-NE displacement, typical for Jurassic thrust faulting of the East Sierran thrust system (Dunne and Walker, 2004), whereas younger thrusting during the Cretaceous is top-to-the-east.",Jurassic,
Kmp,Manly Peak quartz monzonite,"Medium-grained, massive quartz monzonite with large phenocrysts of pink microcline and roughly equal amounts of biotite and hornblende mafic accessory minerals (Johnson, 1957). A sample of this unit has a CA-TIMS zircon age of 151.210 ± 0.074 Ma (Andrew, 2019).",Jurassic,
Kpw,quartz monzonite,"Relatively large volume body of quartz monzonite exposed south of the January Jones mine in the eastern part of the central Slate Range. This rock is notable for the speckled pattern of the pink, white and black colors of coarse (1–5 mm) elongate, euhedral phenocrysts of K-feldspar, plagioclase and hornblende, respectively. The area of exposure and contact relationships indicate that this unit is associated with the Early Jurassic Stockwell Diorite.",Cretaceous,
Kqd,quartz diorite,"Medium-grained quartz diorite body well-exposed in north of the January Jones Mine area of the central Slate Range. This unit is a relatively small volume and is interpreted to be associated with intrusion of the Early Jurassic Stockwell Diorite.",Cretaceous,
Kr,granite of Redlands Canyon,"A leucocratic granite exposure along the western flank of the Panamint Range that correlates to similar rocks in Redlands Canyon, a few kilometers to the north. These granites resemble Late Cretaceous two-mica alkali granites farther north along the western flank of the Panamint Range (Hall Canyon and Skidoo granites). This granite locally contains fine-sized garnet phenocrysts. A sample from lower Redlands Canyon has a U-Pb zircon age of ca. 91.8 Ma (Andrew, 2002).",Cretaceous,
Ks,Stockwell diorite,"Voluminous hornblende diorite in the central Slate Range south of Manly Pass. It is quite variable, ranging from fine- to medium-grained, with local pegmatitic pockets of hornblende and plagioclase. Chlorite and epidote mineralization is ubiquitous, giving this rock a distinctive dark green outcrop color (Moore, 1976). This diorite forms an intricate, small-scale igneous complex of several rock types previously mapped together as the Stockwell Diorite. Two areas have ductile deformation textures, one of which is mapped separately as the mylonite of Slate Range crest. Interpreted age is 166 ± 9 Ma (Andrew and Walker, 2009).",Jurassic,
Msr,Santa Rosa Hills Limestone,"This unit occurs as a poorly exposed set of carbonate metasedimentary rocks in a few relatively small exposures in the southern part of the central Slate Range. These rocks are intruded by voluminous plutonic rocks. Elsewhere in the region the Santa Rosa Hills Limestone is typically a massive, light gray, dominantly echinodermal limestone with minor amounts of chert (Stone et al., 1989).",Mississippian,
Npc,conglomerate at Manly Pass,"Deeply dissected, poorly sorted alluvial fan deposits on the down-dropped side of the Manly Pass fault. The clasts are angular to subangular and of Mesozoic intrusive and late Paleozoic sedimentary units and reflect a local derivation due to exhumation and uplift of the central Slate Range by the Manly Pass fault (Moore, 1976). Unroofing of the central Slate Range by NW-directed extension began ca. 4 Ma (Andrew and Walker, 2009; Walker et al., 2015).",Pliocene,
Pc?,Conglomerate Mesa Formation,"Fine-grained metasiliciclastic unit that is correlated to the finer-grained parts of the Conglomerate Mesa Formation. This medium brown metasiltstone occurs in the central Slate Range near Chess Canyon and is typically structurally juxtaposed below marbles that are interpreted to be Triassic.",Permian,
Qa,alluvium,Unconsolidated silt and sand and gravel deposited in active stream channels.,Holocene,
Qc,colluvium,"Poorly sorted, unconsolidated angular debris of local derivation deposited on slopes.",Holocene,
Qe,eolian deposits,"Well-sorted, unconsolidated silt or sand deposited in dunes and dune fields.",Holocene,
Ql,landslide deposit,"Massive unbedded landslide deposits along the Inyo-San Bernardino county line and military base boundary in southern Panamint Valley. These deposits are generally coarse-grained cobble to boulders of plutonic rocks in a fine-grained matrix. The clast rock types and map pattern demonstrate that these deposits originate from the crest of the Slate Range and flowed across the valley to pond against the southern Panamint Range. The deposits are dextrally offset by the Southern Panamint Valley fault.",Holocene,
Qo1,younger intermediate age alluvial deposits,"Unconsolidated silt, sand, and gravel deposited in now-abandoned stream channels. These deposits have poor soil and desert varnish development and are not incised.",Holocene,
Qo2,older intermediate age alluvial deposits,"Unconsolidated silt, sand, and gravel deposits with moderate development of desert pavement and desert varnish. Commonly occur as slightly upraised terraces above active and young inactive alluvium. These deposits are younger than local Pleistocene lakes and so do not have lacustrine effects.",Holocene,
Qoa,older intermediate age alluvial deposits,"Unconsolidated silt, sand, and gravel deposits with moderate development of desert pavement and desert varnish. Commonly occur as slightly upraised terraces above active and young inactive alluvium. These deposits are younger than local Pleistocene lakes and so do not have lacustrine effects.",Pleistocene,
Qp,pluvial deposits,"Well-sorted, unconsolidated silt and clay deposited in active playa lakes.",Holocene,
Qpa,older alluvial deposits,"Dissected alluvium and fanglomerates that have well-developed pavement surfaces. Many of these deposits along the eastern flank of the Slate Range are tilted down eastward by a system of northwest-dipping normal faults.",Pleistocene,
Qpc,uplifted fanglomerates,"Uplifted and deeply incised fanglomerates, most deposited nonconformably on the western range-flank faults of the Slate and Panamint Ranges. The clasts are derived from nearby localities upslope. These deposits are generally coarse-grained conglomerates with massive beds of subangular rock clasts. These units have been affected by Pleistocene lacustrine activity.",Pliocene,
Qpl,older lake sediments,"Gravel deposits along the margins of the Slate Range in Searles Valley. The clasts are moderately rounded by wave action in paleo-playas (Moore, 1976).",Pleistocene,
Qps,washed surface,"Older sediments with surfaces modified by Pleistocene Panamint and Searles Lakes. These washed surfaces consist of numerous paleo-lake shoreline beaches and wave-cut terraces. The uppermost washed area is bound by the highstand at 695 m elevation in Searles Valley (Smith, 2009) and 664 m elevation in Panamint Valley (Smith, 1979). These washed surfaces correlate with members A to B of the Searles Lake Formation (Smith, 2009).",Pleistocene,
Qpt,travertine mound,"Deposits of calcium carbonate tufa with pea-sized vug spaces. Occurs at one outcrop in Searles Valley.",Pleistocene,
Tgv,conglomerate of metavolcanic clasts,"A conglomerate that contains abundant subangular to subround metavolcanic clasts. These clasts were probably derived from metavolcanic rocks exposed (Smith et al., 1968) in the southern Slate Range. It occurs only at Red Hill Mines in the southern Panamint Range, and bedding clast orientation data suggest depositional flow from the west.",Miocene,
Ti,rhyolitic intrusions,"Rhyolitic stocks in Goler Wash and east of Mengel Pass and NW-trending porphyritic dikes along the western Panamint Range. These rocks are light gray tan with medium-grained porphyritic textures in a cryptocrystalline groundmass. Phenocrysts consist of alkali feldspar with local quartz and biotite. A dike in Goler Wash has an 40Ar/39Ar step-heating geochronology age of 13.41 ± 0.36 Ma (Andrew and Walker, 2009).",Miocene,
Tid,dacitic intrusions,"Several dacitic intrusions occur in and south of eastern Goler Wash. These are porphyritic with feldspars and biotite in a tan matrix (Johnson, 1957). They intrude the Miocene volcanic section up to the level of the felsic pyroclastic tuffs and may be the source of the thick andesitic lavas that cap the Miocene volcanic section in the southern Panamint Range.",Miocene,
Tl,mass wasting deposits along Slate Range,"Occur just east of the crest of the Slate Range north of Fish Canyon. These deposits are composed of clasts of the nearby Neogene volcanic section that are jumbled together with elongate clasts that generally have a steep orientation. These deposits are only present adjacent to a relatively large northeast-trending normal fault that dropped the east side downward.",Pliocene,
Trm,marble,"A 15–20 m thick light gray marble in the Slate Range that is commonly deformed. Locally, a set of thrust faults duplicate this unit with a unit correlated to the Permian Conglomerate Mesa Formation(?). Fowler (1982) referred to these units as the Owens Valley Formation.",Triassic,
Trs,meta-siltstone,"Tan-weathering meta-siltstone and silty meta-limestone in the western and northern parts of the Slate Range (Moore, 1976; Fowler, 1982).",,
Ts,arkosic sandstone and conglomerate,"Uncemented, poorly outcropping basal Neogene sequence only preserved beneath a cap rock. It is a poorly bedded, fine-grained sandstone with an upper lens of conglomerate. The fine-grained sandstone is mostly grus in regions where the underlying rocks are plutonic and in other localities it is composed of locally derived clasts. The thickness varies from zero in the northwestern portions of the map area up to 30 m thick along the eastern side of the Slate Range north of Fish Canyon. The upper conglomerate bed is notable for well-rounded quartzite clasts.",Miocene,
Tv,andesite,"The Miocene volcanic sequence in the southern Panamint Range is capped by thick, porphyritic, plagioclase-lath lava flows in the southern Panamint Range and locally in eastern parts of the northern Slate Range.",Miocene,
Tva,andesite,"The Miocene volcanic sequence in the southern Panamint Range is capped by thick, porphyritic, plagioclase-lath lava flows in the southern Panamint Range and locally in eastern parts of the northern Slate Range.",Miocene,
Tvb,basalt,"A basalt lava flow locally present, usually at the base of the Miocene volcanic section. Many of these basalts are greenish or have greenish spots due to extensive hydrous alteration, particularly in the Slate Range exposures. Cooling columns and entablature textures are well developed in many exposures. 40Ar/39Ar step-heating geochronology yields ages of 13.41 ± 0.46, 14.49 ± 0.86, and 14.55 ± 2.05 Ma (Andrew and Walker, 2009).",Miocene,
Tvba,basaltic-andesite,"A sequence of basaltic-andesite lava flows is present above the volcanic debris flow deposits. This lava sequence is usually several meter-thick lava flows of basaltic andesite, but there are also interbedded flows of porphyritic hornblende andesite and porphyritic plagioclase andesite. 40Ar/39Ar step-heating geochronology ages of these lavas give ages of 12.81 ± 0.40 to 13.92 ± 0.06 Ma (Andrew and Walker, 2009).",Miocene,
Tvbg,basalt,"A basalt lava flow locally present, usually at the base of the Miocene volcanic section. Many of these basalts are greenish or have greenish spots due to extensive hydrous alteration, particularly in the Slate Range exposures. Cooling columns and entablature textures are well developed in many exposures. 40Ar/39Ar step-heating geochronology yields ages of 13.41 ± 0.46, 14.49 ± 0.86, and 14.55 ± 2.05 Ma (Andrew and Walker, 2009).",Miocene,
Tvd,volcanic debris flow deposit,"Most exposures of the felsic pyroclastic deposits are overlain by grayish-tan volcanic debris-flow deposits that locally grade upward into a well-bedded conglomerate. The volcanic debris-flow deposits are typically monolithologic deposits of andesitic to dacitic lavas and probably represent lahar deposits, although there is no known source area.",Miocene,
Tvp,felsic pyroclastic deposit,"The Miocene volcanic section in southern Panamint Valley usually has a conspicuous white tuffaceous unit at or near the base. This unit contains pumice and rhyolitic lava clasts along with accidental clasts of various lithologies present down-section. This layer is thickest in the northeastern portions of the Slate Range. A pumice-rich section is present within the thickest exposures of this unit.",Miocene,
Xg,granodioritic gneiss of Coyote Canyon,"Dark gray, medium-grained gneiss of granodiorite composition with a strong shear fabric defined by warped and aligned biotite porphyroblasts. The biotite porphyroblasts typically have an elongated S shape. Locally within this body there are dark-brown carbonate xenoliths. The southwestern portions are deformed and locally well-lineated dark biotite schist and gneiss. This unit occurs below a nonconformity with the Crystal Spring Formation and the extensive deformation is similar to other basement rocks with ages of ca. 1780 Ma (Silver et al., 1961).",Paleoproterozoic,
Yca,Crystal Spring Formation argillite member,"Fine-grained, dark grayish purple to dark reddish brown argillite in the lower two thirds with thin bedded siltite, silty argillite, and minor dolomite in the upper third (Wrucke, 1966). Lighter color reduction spots are common in the lower unit. The undeformed thickness is ~80 m in the eastern Panamint Range.",Stenian,
Ycd,Crystal Spring Formation dolomite member,"Grouping of the two carbonate members of Wrucke (1966) and Wrucke et al. (2008). The stromatolitic dolomite member is brownish-red, medium-grained dolomite with abundant stromatolites with interbedded brown-weathering, sandy dolomite in the upper 25% (Wrucke, 1966). The other member is a cherty dolomite: dominantly interbedded pale grayish-orange dolomite and brown to black chert, with lesser brown-weathering silty dolomite (Wrucke, 1966). The combined thickness is ~150 m where well exposed and relatively undeformed in the eastern Panamint Range.",Stenian,
Ycq,Crystal Spring Formation feldspathic quartzite member,"Light yellow-gray and pale-red colored feldspathic quartzite with minor amounts of conglomerate and dolomite (Wrucke, 1966). Commonly 20–30% feldspar grains. The lower two-thirds are medium coarse-grained in ~60 cm thick beds, while the upper third is fine- to medium-grained in beds ~30 cm thick. Cross-bedding is common in the lower part and ripple marks common in the upper part. This unit is 190 m thick where well exposed and undeformed in the eastern Panamint Range.",Stenian,
Ycs,Crystal Spring Formation siltite member,"Finely laminated, very fine-grained, greenish- or purplish-black siltite with local thin beds of cream-gray chert (Wrucke, 1966). Small (<5 cm long) lenses of dolomite occur in the lower portion of this member. The base of this member is an unconformity. This unit is ~100 m thick in the eastern Panamint Range.",Stenian,
Yd,Crystal Spring Formation diabase,"Sills of metamorphosed mafic intrusive rocks that intrude the Crystal Spring Formation and older metamorphic rocks. This rock is typically dark colored and often characterized by ophitic intergrowth of plagioclase and pyroxene. These correlate with the sills in Crystal Spring Formation in the Kingston Range that are dated at 1087 Ma using U-Pb on baddeleyite (Heaman and Grotzinger, 1992).",Stenian,
Zjl,Johnnie Formation lower member,"Thick-bedded dolomite and sandy dolomite, interbedded with quartzite and dolomitic quartzite and overlain by dark-reddish-brown-weathering quartzite and pelite (Albee et al., 1981). Correlates to transitional member of Johnnie Formation by Petterson et al. (2011). Age interpreted by Macdonald et al. (2013).",Ediacaran,
Zjm,Johnnie Formation informal middle member,"Thin-bedded tan dolostones. A set of dolomitic marbles occur stratigraphically above lower Johnnie Formation beds along the intrusive contact zone of the Manly Peak Quartz Monzonite.",Ediacaran,
Zju,Johnnie Formation upper member,"Beds of argillite and calcareous argillite. Lower part consists of very thinly laminated micaceous green argillite with rare sandy dolomite and limestone layers; the upper part is characterized by gray argillite and gray-green silty limestone.",Ediacaran,
Zkl,Kingston Peak Formation Limekiln Spring Member,"50–500 m thick, with a variety of rock types, dominated by fine-grained metagraywacke, pelitic schist, and amphibolitic schist. Conglomeratic layers are locally abundant and contain clasts of Proterozoic basement and Beck Spring Dolomite.",Cryogenian,
Zklq,Kingston Peak Formation Limekiln Spring Member quartzite,"Large mass of quartzite beds above(?) the Limekiln Spring Member and below the Surprise Member. This unit is present only in an overthrust package of rocks, just south of Goler Wash.",Cryogenian,
Zkmg,Kingston Peak Formation Mountain Girl Member,"Clast-supported arkosic sandstone with white quartzose clasts, minor limestone clasts. Lower part is dark-reddish to black weathering, more pebbly; upper part is white weathering, less pebbly. Most clasts are <10 cm in diameter. Promoted to member status from submember by Petterson et al. (2011).",Cryogenian,
Zkmp,Kingston Peak Formation Middle Park Member,"Pervasively laminated schistose siltstone and sandstone. Farther north Petterson et al. (2011) describe a lower portion containing a few Sourdough Member-like limestones and a middle portion containing graywackes with medium to coarse-grained, predominantly quartz pebbles. Promoted to member status by Petterson et al. (2011).",Cryogenian,
Zkmpmg,Kingston Peak Formation Middle Park Member,"Local zones of matrix-supported breccias of boulder to very large blocks (up to 50 m long) of older rock units within the Middle Park and Mountain Girl Members. Clasts are dominantly of the Crystal Spring Formation. The matrix is typically fine-grained, dark gray green to brown and is locally finely recrystallized due to thermal metamorphism from adjacent Mesozoic plutonic rocks. These deposits probably represent rock avalanche deposits caused by syn-depositional normal faulting (Prave, 1999).",Cryogenian,
Zko,Kingston Peak Formation olistostrome,"Local zones within the stratigraphy of the Kingston Peak Formation of matrix-supported breccias of boulder to very large blocks (up to 50 m long) of older rock units. Clasts are dominantly of the Crystal Spring Formation in the southern Panamint Range. The matrix is typically fine-grained, dark gray green to brown and locally finely recrystallized due to thermal metamorphism from adjacent Mesozoic plutonic rocks. These deposits probably represent rock avalanche deposits caused by syn-depositional normal faulting (Prave, 1999). Olistostromes occur in the Surprise and Middle Park Members.",Cryogenian,
Zkoc,Kingston Peak Formation olistostrome,"Local zones within the stratigraphy of the Kingston Peak Formation of matrix-supported breccias of boulder to very large blocks (up to 50 m long) of older rock units. Clasts are dominantly of the Crystal Spring Formation in the southern Panamint Range. The matrix is typically fine-grained, dark gray green to brown and locally finely recrystallized due to thermal metamorphism from adjacent Mesozoic plutonic rocks. These deposits probably represent rock avalanche deposits caused by syn-depositional normal faulting (Prave, 1999). Olistostromes occur in the Surprise and Middle Park Members.",Cryogenian,
Zks,Kingston Peak Formation Surprise Member,"Thick section (250–1000 m) of clastic rocks, massive to unbedded trimodal to unsorted pebbly mudstone and diamictite. The largest clasts are generally smaller than 10 cm in diameter, but some clasts of several meters occur. Clast rock types include quartzofeldspathic gneiss, quartzite, dolomite, argillite, and diabase. Graded argillite beds with exotic cobbles also occur in the member. Basalt layers occur near the middle of this member (Albee et al., 1981).",Cryogenian,
Zksb,Kingston Peak Formation Surprise Member basalt,"Typically exposed as massive fine-grained, dark gray to black colored meta-volcanic rock. Where well-exposed farther north in central Panamint Range there are abundant well-preserved pillow structures, basal flow breccia, hyaloclastic textures, and white amygdules.",Cryogenian,
Zksd,Kingston Peak Formation Sourdough Limestone Member,"Thin, variable thickness (5–30 m) of thinly laminated light- and dark-gray micaceous limestone (Albee et al., 1981). Thickness varies due to imbrications and stratigraphic omission during Mesozoic and Cenozoic deformation.",Cryogenian,
Zksp,Kingston Peak Formation South Park member,"Older stratigraphic classification that includes the Mountain Girl and Middle Park Members. These two members were submembers under the South Park Member. This label is used in a few places where these two members were not mapped separately.",Cryogenian,sedimentary rock
Zkt,Kingston Peak Formation Thorndike Member,"Buff to tan-colored limestone, with strong variability, formally defined by Petterson et al. (2011). Dominantly well-laminated limestone with siliceous irregular beds or argillite. Also local, thick, massive light-colored limestone beds and lenses.",Cryogenian,
Zkw,Kingston Peak Formation Wildrose Diamictite Member,"Diamictite of very dark brown-weathering fine-grained matrix with abundant clasts of limestone, quartzite, granitic, and gneiss pebbles. This unit is locally faulted out (or not deposited) throughout the Panamint Range. In Goler Wash, the clasts are dominated by carbonate rock, but elsewhere basement gneiss and quartzite clasts are more abundant. Promoted to member status from submember by Petterson et al. (2011).",Cryogenian,
Zn,Noonday Dolomite,"Dominantly dolomite and dolomitic limestone, extensively metamorphosed adjacent to the Early Cretaceous Manly Peak Quartz Monzonite. Exposures on the western range flank are locally extensively brecciated and some are displaced downslope by normal faulting or mass wasting. The rocks overall weather to a distinctive light-yellow color visible from a distance. Age interpreted by Macdonald et al. (2013).",Cryogenian,
Znm,Noonday Dolomite Mahogany Flat Member,"125–150 m of thick-bedded to massive light-gray dolomite with minor thin argillite beds near the top. This unit was originally mapped in the map area as the Redlands Member by Johnson (1957) but renamed and redefined by Petterson et al. (2011).",Cryogenian,
Znr,Noonday Dolomite Radcliff Member,"100–250 m of thin-bedded gray, pink, green, or brown limestone interbedded with thin laminae of gray-green argillaceous limestones and argillites. Lower part consists almost entirely of argillite but includes lenses of conglomerate containing clasts of argillite and dolomite in argillaceous dolomite matrix (Albee et al., 1981).",Cryogenian,
Zns,Noonday Dolomite Sentinel Peak Member,"Variable thickness (3–150 m) due to shearing, light-gray massive dolomite containing thinly laminated siliceous limestone in lower part. Thin laminae and tubular structures are common (Albee et al., 1981). The tube structures are oriented normal to the bedding and are generally coarser grained.",Cryogenian,
Zs,Stirling Quartzite,"Brown-weathering quartzite at top, underlain by interbedded purple shale and quartzite and, at base, well-bedded and cross-bedded, partly conglomeratic quartzite (Hunt and Mabey, 1966).",Ediacaran,
^ba,Butte Valley Formation facies a,"Interbedded mudstone and siltstone with several limestone interbeds (Cole, 1986). The limestone beds are massively bedded and non-fossiliferous. The siliciclastics are very fine-grained with hornfels-facies metamorphism. Near the top there is a 1.5-m-thick breccia of limestone. This unit is 207 m thick but the base is not exposed (Cole, 1986).",Triassic,
^bb,Butte Valley Formation facies b,"Dominated by thin- to medium-bedded quartzites (Cole, 1986). Interlayered limestones occur near the bottom, and mudstone is abundant near the top. Thermal metamorphism is weak but ubiquitous. The total thickness is 356 m (Cole, 1986).",Triassic,
^bc,Butte Valley Formation facies c,"Composed of fine- to medium-grained carbonates and mudstones, without the coarse clastic rocks in the other facies (Cole, 1986). Thermal metamorphism is weak but ubiquitous. This unit is 265 m thick.",Triassic,
^bd,Butte Valley Formation facies d,"Abundant calcareous silty mudstone and calcareous quartzite, with minor limestone beds in the upper portions (Cole, 1986). Thermal metamorphism is weak but ubiquitous. A 13-m-thick limestone bed occurs near the top, containing gastropods not preserved well enough for identification. This unit is 340 m thick.",Triassic,
^m,marble,"A 15–20 m thick light gray marble in the Slate Range that is commonly deformed. Locally, a set of thrust faults duplicate this unit with a unit correlated to the Permian Conglomerate Mesa Formation(?). Fowler (1982) referred to these units as the Owens Valley Formation.",Triassic,
^s,meta-siltstone,"Tan-weathering meta-siltstone and silty meta-limestone in the western and northern parts of the Slate Range (Moore, 1976; Fowler, 1982).",Triassic,
_b,Bonanza King Formation,"Dominantly thick-bedded limestone and dolomite exposed in the southern Panamint Range. Upper brown-colored, thick-bedded dolomite, over a middle member of light-tan shale interbedded with platy limestone and sandstone containing middle Cambrian fossils. The lower part is interbedded dark limestone and light-colored dolomite underlain by massive dark dolomite beds (Hunt and Mabey, 1966).",Cambrian,
_bl,Bonanza King Formation lower member,"Banded outcrops of dark, massive limestone and tan, well-bedded dolomite, grading upward into massive dark limestone beds that weather into jagged outcrops. Outcrops near Goler Wash are folded and convoluted due to multiple deformations.",Cambrian,
_bm,Bonanza King Formation middle member,"Dominantly striped tan-colored fossiliferous sandy carbonate and tan dolomite beds with lesser amounts of dark limestone. Contains oncolites.",Cambrian,
_bu,Bonanza King Formation upper member,"Thick, massive, dark, and light-colored dolomite beds.",Cambrian,
_c,Carrara Formation,"Alternating shaly and silty layers with thin (10–15 cm) limestone layers. The shales have slightly deformed burrow trace fossils that are perpendicular to bedding. In the Goler Wash area this unit is up to 15 m thick, but it is bound on the top and possibly on the bottom by stratigraphy-excising faults. South of Goler Wash this unit is thicker, up to ~40 m thick.",Cambrian,
_n,Nopah Formation,"Blue-colored, chert-rich limestone only exposed in a few small inselberg outcrops in the southernmost outcrops of the Panamint Range near Wingate Wash.",Cambrian,
_w,Wood Canyon Formation,,Cambrian,sedimentary rock
_w1,Wood Canyon Formation informal member 1,"Thin-bedded white quartzite with strongly variable thickness, from 200 to less than 1 m thick. Thickness variation is due to stratigraphic excisement by a structurally lower extensional fault. This member and the member above are duplicated in the eastern exposure by a thrust fault.",Cambrian,
_w2,Wood Canyon Formation informal member 2,"Alternating thin to medium thickness (5–200 m thick) beds of shale and sandstone with local brown weathering dolomite beds in the lower exposed sections.",Cambrian,
_z,Zabriskie Quartzite,"White to translucent quartzite, strongly granulated and brecciated. Variable thickness from 100 to 5 m in less than 200 m horizontal distance, due to excisement and imbrication by multiple deformation events.",Cambrian,
