code,title,description,lithology,span
Tnlx (Cb),"Artist Drive Formation equivalent, Giant-block landslide breccias","Genetically related to rock-avalanche breccias (Tnrx) but composed of clasts that are large enough to map at 1:50,000 scale; rock formations from which giant blocks were derived are shown in parentheses",,Miocene
Tnlx (Cbb),"Artist Drive Formation equivalent, Giant-block landslide breccias","Genetically related to rock-avalanche breccias (Tnrx) but composed of clasts that are large enough to map at 1:50,000 scale; rock formations from which giant blocks were derived are shown in parentheses",,Miocene
Tnlx (Cn),"Artist Drive Formation equivalent, Giant-block landslide breccias","Genetically related to rock-avalanche breccias (Tnrx) but composed of clasts that are large enough to map at 1:50,000 scale; rock formations from which giant blocks were derived are shown in parentheses",,Miocene
Tnlx (Cnd),"Artist Drive Formation equivalent, Giant-block landslide breccias","Genetically related to rock-avalanche breccias (Tnrx) but composed of clasts that are large enough to map at 1:50,000 scale; rock formations from which giant blocks were derived are shown in parentheses",,Miocene
Tnlx (DSh),"Artist Drive Formation equivalent, Giant-block landslide breccias","Genetically related to rock-avalanche breccias (Tnrx) but composed of clasts that are large enough to map at 1:50,000 scale; rock formations from which giant blocks were derived are shown in parentheses",,Miocene
Tnlx (Oe),"Artist Drive Formation equivalent, Giant-block landslide breccias","Genetically related to rock-avalanche breccias (Tnrx) but composed of clasts that are large enough to map at 1:50,000 scale; rock formations from which giant blocks were derived are shown in parentheses",,Miocene
Tnlx (Oes),"Artist Drive Formation equivalent, Giant-block landslide breccias","Genetically related to rock-avalanche breccias (Tnrx) but composed of clasts that are large enough to map at 1:50,000 scale; rock formations from which giant blocks were derived are shown in parentheses",,Miocene
Tnlx (Op),"Artist Drive Formation equivalent, Giant-block landslide breccias","Genetically related to rock-avalanche breccias (Tnrx) but composed of clasts that are large enough to map at 1:50,000 scale; rock formations from which giant blocks were derived are shown in parentheses",,Miocene
Tnlx (Opa),"Artist Drive Formation equivalent, Giant-block landslide breccias","Genetically related to rock-avalanche breccias (Tnrx) but composed of clasts that are large enough to map at 1:50,000 scale; rock formations from which giant blocks were derived are shown in parentheses",,Miocene
Tnlx (Opg),"Artist Drive Formation equivalent, Giant-block landslide breccias","Genetically related to rock-avalanche breccias (Tnrx) but composed of clasts that are large enough to map at 1:50,000 scale; rock formations from which giant blocks were derived are shown in parentheses",,Miocene
Tnlx (Opn),"Artist Drive Formation equivalent, Giant-block landslide breccias","Genetically related to rock-avalanche breccias (Tnrx) but composed of clasts that are large enough to map at 1:50,000 scale; rock formations from which giant blocks were derived are shown in parentheses",,Miocene
Tnm,"Artist Drive Formation, Middle member",Upper sedimentary part consists of sandstones grading down into interbedded lacustrine claystones and freshwater limestone. Lower volcanic part consists mainly of felsic lavas and tuffs of lower part of Shoshone Volcanics,,Miocene
Tnp,"Artist Drive Formation equivalent, Playa","Playa claystones, commonly gypsum-bearing, and lesser interbedded siltstones and sandstones, typically moderately consolidated and pale yellow in color; locally includes interbedded freshwater limestones",,Miocene
Tnrx,"Artist Drive Formation equivalent, Rock-avalanche breccias",Megabreccias and much lesser mesobreccias composed of clasts of various Paleozoic rock formations exposed in the southern Funeral Mountains; interbedded with alluvial and playa subunits (Tng and Tnp) and giant-block landslide breccias (Tnlx); transitional to giant-block landslide breccias (Tnlx). Key beds within unit are extensive tephras that show large-scale bedding geometry,,Miocene
Tnu,"Artist Drive Formation, Upper member","Upper sedimentary part consists of fluvial conglomerates grading down into sandstones and then into interbedded claystones and freshwater limestone. Lower volcanic part consists of felsic tuffs of upper part of Shoshone Volcanics and lesser, interbedded basalt flows at base",,Miocene
Tog,"Bat Mountain Formation, Conglomerate member","Pebble to boulder (dominantly cobble) alluvial conglomerate, mainly clast supported, with a poorly sorted matrix of dirty sandstone; clasts are typically subangular and consist of various Paleozoic lithologies derived from southern Funeral Mountains and vicinity; overall color as observed from a distance is medium-reddish brown; maximum exposed thickness of about 300 m",,middle Miocene
Tok,Kelleys Well Limestone,"Massive to thick-bedded, micritic cream-white freshwater limestone with local biostromes of finely laminated algal limestone and rare lenses of interbedded conglomerate; maximum exposed thickness of about 100 m",,middle Miocene
Tos,Rocks of the Billie Mine,"Orange sandstone, well consolidated, commonly with well-rounded pebbles mainly of quartzite, black chert, and Hunter Mountain Quartz Monzonite; fines upward: fluvial at base and at least partly lacustrine in upper part; includes thin interbedded ash-flow and ash-fall tuffs in lower part; maximum exposed thickness of about 150 m",,middle Miocene
Toss,"Bat Mountain Formation, Sandstone member",Volcaniclastic arkosic sandstone with minor thin conglomerate and mudstone interbeds; dominantly ochre colored; commonly crossbedded indicating a braided-stream depositional environment; contains sparse pebbles derived from various Paleozoic rock formations of southern Funeral Mountains and vicinity; maximum exposed thickness of about 300 m,,middle Miocene
Ttc,"Titus Canyon Formation, undivided","Undivided unit used for scattered small exposures where lithologic subdivision is impractical at 1:50,000 scale; subdivided elsewhere into red sandstone member (Ttr), limestone member (Ttl), and conglomerate member (Ttg)",,early Miocene to Oligocene
Ttg,"Titus Canyon Formation, Conglomerate member","Alluvial conglomerate, moderately consolidated, consisting of subangular clasts to about 1 m, derived from locally subcropping Paleozoic rock formations, in a matrix composed of lateric red clay and lesser sand that is volcaniclastic near top of unit; thickness highly variable, maximum of about 225 m",,Oligocene
Ttl,"Titus Canyon Formation, Limestone member","Freshwater limestone and marl beds interbedded with equally or more abundant tuffaceous siltstones, sandstones, and minor tuffs; moderately well consolidated except for claystones, which are mostly poorly consolidated. Includes interbedded fluvial conglomerates in small isolated exposures about 10 to 16 km northwest of Bat Mountain; maximum exposed thickness of about 120 m",,early Miocene to Oligocene
Ttr,"Titus Canyon Formation, Red sandstone member","Pebbly sandstone and much lesser interbedded thin marl and pebble to small-cobble conglomerate; medium-red to much lesser grayish-green or, rarely, ochre colored; pebbles moderately to well rounded and derived mainly from Paleozoic and Neoproterozoic lithologies of southwestern Great Basin—chiefly quartzites and black cherts, along with rare pebbles of Mesozoic granite; sand is arkosic, typically rich in biotite flakes, and mainly volcaniclastic; maximum exposed thickness of about 300 m",,early Miocene
Zju,"Johnnie Formation, Upper member","Shale, slate, or pelitic schist interlayered with quartzite and limestone (or marble); only uppermost 100 m of upper member exposed in map area",,Neoproterozoic
Zsa,"Stirling Quartzite, Lower part, A member","Impure sandstone, mostly fine to coarse grained, commonly arkosic and bearing characteristic jasperoid grains and small pebbles; includes abundant beds of quartz-pebble conglomerate near base and a thin, orange dolomite marker bed in upper part",,Neoproterozoic
Zsb,"Stirling Quartzite, B member","Fine-grained arkosic sandstone, micaceous siltstone, and thin beds of carbonate rocks",,Neoproterozoic
Zsc,"Stirling Quartzite, C member","Dolomite, fine to medium grained, massive to thin bedded, typically pale orange",,Neoproterozoic
Zsd,"Stirling Quartzite, D member","Fine- to medium-grained feldspathic sandstone, with numerous siltstone interbeds in lower part of unit, decreasing in abundance upward",,Neoproterozoic
Zse,"Stirling Quartzite, E member","Orthoquartzite, fine grained, medium to thick bedded, white to pale yellowish-brown or pale red",,Neoproterozoic
Zwl,"Wood Canyon Formation, Lower member","Siltstone and very fine-grained micaceous quartzite, thin to thick bedded, dark- to medium-brown, or greenish-gray; divided into four sections of roughly equal thickness by three prominent, about 15-m-thick beds of interbedded orange dolomite mapped as key beds",,Neoproterozoic
Zwm,"Wood Canyon Formation, Middle member","Fining-upward sequence consisting mainly of siltstone, but with abundant interbedded thin sandstone beds in lower part, and a pebbly arkosic sandstone at base; sandstones are pale-greenish gray; siltstones are medium- to dark-greenish brown",,Neoproterozoic
af,Artificial fill,Artificial fill,,late Holocene
