code,title,description,span,lithology
Tvd,volcanic debrid flow deposit,"Volcanic debris flow deposits occurs throughout the area above the white pyroclastic deposits and below the Miocene intermediate composition lava flows. These rock units are grayish-tan deposits of dacitic lava clasts and probably represent lahar deposits, although there is no known source area. Most of these units are poorly sorted breccias with angular to subangular clasts but at several localities these breccias grade upward into a well-bedded conglomerate of the same dacitic clast types. Sample name Qa Nmv Jam 41 Nmp Nmb 53 14.49 ± 0.86 85 Nmv ^ _ Nmv Nmp 84 88 Nmp Nmv 63 Nma 28 26 Nmp 13.92 ± 0.06 SR12-07-01C ¹ j Jms Slate Range Crossing Nmp Nmb Fault plane",Miocene,
*k,Bird Spring Formation,"Medium gray limestone and silty limestone and metamorphosed equivalents exposed in the upper part of the Argus-Sterling thrust fault in the northern Slate Range. It occurs stratigraphically above the Mississippian Santa Rosa Hills Limestone and is overthrust by tectonized marble. The exposed thickness is 150 m with a lower half of medium to dark gray micritic limestone, tan-weathering silty or argillaceous limestone and graded echinodermal limestone beds (Stone, 1984). The upper half is similar but is dominated by silty argillaceous limestone. Graded beds indicate this unit is the Keeler Canyon Formation and not of the time-equivalent Bird Spring Formation (Stone, 1984). In the Slate Range, there are two thrust slices: the structurally lower slice is monotonous medium gray limestone with pervasively foliated tremolitic marble and a gray meta-limestone with preserved crinoids (Moore, 1976) and 1–2 cm chert nodules (i.e., ‘golfball’ member of lower Keeler Canyon Formation). Msr",Pen,
Tib,Tib,A neck of mafic intrusive rock that occurs just southeast of Slate Range Crossing. This corrrelates to either the basaltic-andesite or the older altered basalt lava flows. Depositional and intrusive Qps @ Qo Qc Qo 70 00 44 5000 QNpa Jvs,Miocene,
Qa,alluvium,"Unconsolidated silt, sand, and gravel deposited in active stream channels. Qa Qy 18 @ Nmd 43 2600 @ 50 Jmc Pc 10 68 38 3 16 ( @ @ 0 420 5560 0 560 00 Nmd o 61 51 Jhm 38 00 4000 Qpl Qa @ 10 Qo @ 58 QNpa 30 3800 T 4 24 37",Holocene,
Jvm,mylonite of felsic,"Blue-gray to white mylonite to mylonitic schist and gneiss. The protolith was likely a felsic Jurassic volcanic rock (Moore, 1976). The original textures have been obliterated by distributed shear and metamorphism during top to the northeast thrust-sense movement. These rocks occur in a deformation zone between hanging wall plutonic rocks and footwall Mesozoic metasedimentary and metavolcanic rocks of the Argus-Sterling thrust fault, part of the Jurassic Eastern California thrust system (Dunne and Walker, 2004).",Jurassic,
Jvs,Jvs,"Dark-colored meta-siltstone, sandstone, conglomerate, and ignimbrite. The conglomerate units are distinctive with rounded felsic volcanic clasts in a dark blue-colored, fine-grained sandstone matrix (matrix supported). Felsic meta-ignimbrites with preserved eutaxitic textures are well exposed just southeast of Shepherd Canyon, structurally below the dark blue conglomerate. The age of this unit is interpreted to be Late Jurassic based similar volcanic rocks in the region (Dunne et al., 1998; Dunne and Walker, 2004).",Jurassic,
Qpc,older conglomerate,"Dissected, poorly sorted conglomerate. The clasts are of Mesozoic intrusive and late Paleozoic sedimentary units that indicate local derivation due to uplift of the central Slate Range by the Manly Pass fault (Moore, 1976). 7.13 ± 2.05 Nmv oo 27 6 Nmp Nmp 00 @ @ 31 Nmv Nmb ^ _ Pcq 45 29 Nmv 13.12 ± 0.77 Nmb Jmc 0 0 556 ( n 0 440 SR012-05-01B 35°54' N j j yo 5800 6000 83 00 23 00 0 480 Qy",Pliocene,
Tvbg,green-altered basal basalt,"A basalt lava flow is often present at the base of the Miocene volcanic section, except at locations with older rhyolitic lava domes (in canyons north of Fish Canyon in the eastern Slate Range) where there are no basalt flows. Most of these basalts are greenish black or have green “spots” because on extensive hydrous alteration to celadonite(?). The thickest section of this unit occurs along the eastern Slate Range north of Fish Canyon, where it is over 10 m thick. This thick section also has strong cooling entablature, which gives the outcrop an aspect of apparent bedding. Andrew and Walker (2009) dated these lava flows using 40Ar/39Ar step-heating: 13.41 ± 0.46, 14.49 ± 0.86, and 14.55 ± 2.05 Ma. Nmn Nma Nmb Nmg Nmp Nmv Nmv Po o o o 90 Qa SE 0 0 Qo 520 300 Nmg",Miocene,
Tva,andesite,"Local, mappable bodies of porphyritic plagioclase lath andesite lava flows. One red-colored andesite lava flow occurs in the mouth of Millspaugh Canyon below the white pyroclastic unit. An exposure at the southeast edge of Millspaugh Canyon is faulted along with the white pyroclastic unit, but overlying debris flows and andesite lava flows are not faulted. Strike and dip of planar structures 45",Miocene,
Tvr,rhyolite dome,"A few exposures of rhyolitic lava occur at the base of the Miocene volcanic section. These lava flows and domes occur in several canyons north of Fish Canyon in the Slate Range. The lava dome has steeply-dipping flow foliations and thick lava flows (20–30 m) relative to length. The lava flows have flow foliation and basal and upper breccia zones. The color ranges from black glass to purple and gray aphanitic lava. These lava flows and lava domes appear to have been topographic highs that subsequent volcanic rocks were deposited around with buttress unconformities. Qo Nmb 76 37 Nmp 90 @ Qpb m Nmp 48 38 Nmv Jam Po Nmb Nmb 54 Nma Nmv Nmv Qpb 2 @ Qa Nmb Nmb Nmb 0 40 Nmv Qa 76 Nma j j o o jo o ¹o j ooj j o j j Pb o ¹ oj j 20 k Nmb @ Elongation, mineral, and flow 30",Miocene,
P*b,Bird Spring Formation,"Gray marble, with local chert and tremolitic marble, locally with abundant epidote (Moore, 1976; Stone, 1984). These are thick-bedded, cherty limestones where there are lower grades of metamorphism (Stone, 1984). These beds weather to dark blue to black colored surfaces. This unit is allochthonous in the southeastern Argus Range and the northern Slate Range (Stone, 1984). This unit is locally intensely brecciated, altered, and metamorphosed (Stone, 1984). Thickness of 100–120 meters. k",Permian,
Mp,Perdido Formation,"Brown-weathering chert in beds and lenses 1–10 cm thick, interbedded with medium gray limestone in 2–20 cm thick beds. Crinoid fragments locally occur in the limestone interbeds (Moore, 1976). This map unit may include a portion of the Tin Mountain Limestone (Moore, 1976).",Mississippian,
Jhm,Hunter Mountain quartz monzonite,"Medium-grained, equigranular quartz monzonite that intrudes sedimentary rocks structurally below the thrust belt in this map area. Chlorite alteration is common in the western portions of this pluton. This rock has a U-Pb zircon age of 173.5 ± 1 Ma minimum from Cottonwood Mountains and 175 ± 1 Ma from a sample farther north in the Argus Range (Dunne and Walker, 2004). Jhd Jsa Jma",Jurassic,
Tls,lacustrine limestone,"Yellow to gray, well-bedded, vuggy lacustrine limestone. These beds overlie Miocene and Pliocene lava flows and locally are deposited as fringing reef-like bodies with buttress unconformities in Panamint Valley near the mouth of Millspaugh Canyon. Mastodon fossils were found in correlative deposits in eastern Shepherd Canyon (Pesci, 1958).",Pliocene,
Qps,washed surface,"Older sediments with surfaces modified by Pleistocene lakes: numerous paleo-lake shoreline beaches and wave-cut terraces with abundant rounded and polished pebbles and local accumulations of gastropod fossils and tufa. The high-stand beach terrace is at 695 m elevation in Searles Valley. This correlates with members A to B of the Searles Lake Formation (Smith, 2009). The washed surfaces are poorly preserved on the west side of Panamint Valley. Nmq 26 440 58 00 NG 50 Jmc Qo 3400 48 Jhm s 63 Nmv Jhd 49 57 Nmq Qo 28 3 Nma 3800 68 Jm 63 33 67 Ü 75 3000 00 0 4400 Qps QNpa Qo Qpl QNpa Qpt @ 80 4600 Margaret 4800 Ann Spring Jm jÜ RA Npb 20 0 32 QNpa Jmc 70 Jid @ Jam Anthony Mill Ruins 600 @ 5200 5000 6000 4800 29 11 Coyote Spring 39 86 5560 00 5400 0 320 Jhd 0 64 11 Ü 0 0 0 540 556 6200 78 Npb 5600 21 42 17 Jam Nmp j j 5200 83 73 00 4000 @ ( @ 4 21 oo 63 Qo ¹¹ 52 00 S 556 65 Npb",Pleistocene,
Jid,Independence dike swarm,"Plagioclase porphyritic diorite. These intrude Triassic to Jurassic metasedimentary rocks and appear to grade into porphyritic diorite dikes. The largest exposure contains strongly porphyritic textures with medium-grained phenocrysts of plagioclase and quartz in an aphanitic white-gray matrix. Moore (1976) interpreted this unit to be a border phase of the Hunter Mountain Quartz Monzonite, but this unit has porphyritic textures similar to the regionally abundant, Late Jurassic Independence dike swarm (Chen and Moore, 1979) and intrudes units interpreted to be Late Jurassic. Jmc Trend and plunge of linear structures Qps Qo Nmv Nmp 36 Qa Nmp 24 38 3600 46 42 0 Maturango Peak oo Ü o 55 Qo 77 380 Qo jj 56 Qc 520 38°N Ü¹ 7 00 00 0 jÜ Ü Ü Üj j 40 44 0 560 560 @ o Nmv Nmv 16 43 90 55 Qp Qpb Nmb @ Bedding 45 Jid",Jurassic,
Jam,qmz of Anthony Mill,"Potassium feldspar-bearing porphyritic quartz monzonite named by Moore (1976). This unit is distinctive with large (1–4 cm), red-colored, tabular potassium feldspar phenocrysts in a medium-grained, gray crystalline matrix. Moore (1976) classified this unit as post-tectonic in the Argus Range, but outcrops in the Slate Range show ductile fabrics including steeply-oriented shear zones with north-trending lineations. This rock is petrologically similar to the Late Jurassic (ca. 151 Ma) Manly Peak Quartz Monzonite (Johnson, 1957; Andrew, 2019) that outcrops to the southwest, across Panamint Valley in the Panamint Range. Nmv (with plunge value) @ 00 13 0 jÜ o o j @ 22 90 Nmm 81 260 117°30' W 75 @ @ @ o jo o Ü @ @ Pcq Nmb Dripping 360 Spring 0 40 Qo 00 124°W 4 @ o @ @ oo o 40 ¹ @ @ @ 1800 oo @ o ( Üj 00 90 4000 00 50 California ( ( 0 j 88 Davenport Mine Benko Spring Maturango Peak SE ¹ Nmm ^ _ Qo Nmp Nmg 35 SR06-12-03B Nmb Nmv Nmv Jam 31 32 Qa Nmb Nmp Foliation Jam",Jurassic,
Po,Osbourne Canyon Formation,"A unit of light gray to tan, thin-bedded hornfels and calcsilicate-hornfels that Stone (1984) questionably correlated with the Osborne Canyon Formation as exposed in the eastern Panamint Range. This unit is approximately 200–300 m thick. Pb",Permian,
Qpl,beach gravels,"Gravel deposits along the margins of the Slate Range in Searles Valley and in Panamint Valley. The gravel clasts are moderately rounded by wave action along paleo-lake shorelines (Moore, 1976). QNpa Nmg Qa @ Whittaker Iron Mine 90 63 00 Qc 84 76 59 74 69 ( Jmc 46 Qc 46 43 67 Nmv Qo 0 Nmp QNpa Nmq Qy Nmp Nma Nmp Jms jÜ j 00 62 Jhd 340 Nmb Nmb 39 Qpb Qpl Qo @ Qo Nma Nmp jÜ j jÜ j Nmp Nmb Nmp Qc Npb 30 0 320 00 Npb @ 0 240 3600 56 Qy @ @ Nmb Qo QNpa 48 Nmg @",Pleistocene,
Qls,older lake sediments,"White-colored, fine-grained lacustrine sediments exposed in low elevations of Panamint Valley. Qy QNpa @ Nma Jvs s ¹ 40 Pd 35 60 70 Nmg Nmg Qo @ Nmq Nmp Nmv Jvs 0 Jmc Jms Jmf 90 Jhd 320 @ 0Nmg QNpa 19 Qpt ^ _ Nmq QNpa Qy Pcc Nma Nmp 40 38 35°57' N @ ¹ 53",Pleistocene,
Ts,quartz monzonite-bearing conglomerate from Panamin,"This conglomerate is similar to the granodiorite clast bearing conglomerate from Panamint Range, except that it contains light pink, biotite and hornblende bearing, potassium feldspar porphyritic quartz monzonite clasts instead of granodiorite clasts. The quartz monzonite clasts range up to 2 m in diameter and correlate to the Late Jurassic Manly Peak Quartz Monzonite (Johnson, 1957; Andrew and Walker, 2009; Andrew, 2019).",Miocene,
^s,meta-siltstone,"Tan-weathering meta-siltstone and silty meta-limestone. The lithology and age relationships of this unit support a Triassic age (Moore, 1976).",Triassic,
Pc,Conglomerate Mesa Formation,"Silty limestone, with conglomerate layers and local interbedded silty limestone (Moore, 1976). These strata are generally metamorphosed to hornfels or higher metamorphic grades (Moore, 1976; Fowler, 1982; Stone, 1984). megabreccia of clasts of Johnnie Formation – Unsorted, coarse-grained, monolithologic deposit of green-gray, meta-calcsilicates laminated on a centimeter-scale with gray silica-rich layers all of which has a strong ductile deformation fabric. Clasts range from 1–2 m angular boulders to cobble and pebble sizes. These clasts are correlated to the Neoproterozoic Johnnie Formation present in the western Panamint Range (Andrew and Walker, 2009), although they may correlate to the middle member of the Noonday Dolomite in the Panamint Range. Exotic clast conglomerates Nmd 56 26 Ü Pb Pb 20 22 Qo Nms Nmp Jam 63 QNpa Nmm 54 Jam @ Npc Nmv Nmp 42 74 Nmb 32 @ Manly Fall Nmp Jam 25 50 Qa 80 QNpa 51 33 @ Slate Range Crossing 49 Nmb 5 60 Kic @ Homewood Canyon Nmb o 39 55 Nma 67 o 30 Qo 39 Qa Nmp Nma 49 23 Qps @ _ ^ U/Pb samples from Dunne and Walker (2004) Qo @ 19 Nmv Nma 54 Nmp 54 Nmb Nmp Nmb 79 Nmb 34 Jmc 36°N Nmb 29 49 39 25 10 Pb Qa 31 Nma Nmb Pb 30 ¹ 28 35 00 26 Qo Qps Sidehill Spring 0 420 @ Qa 25 38 38 74 51 Pb Nmb 37 Nma 40 Qc Pb 8 20 50 @ Jmc 35 25 @ 3400 5200 15 Nmv Pb Nmv 20 25 Nmb Mohawk Mine Kap ( Po 31 o Skull Spring Qa 0 45 60 50 Qa EY Nmb 00 320 66 ¹ 55 Nmv 55 Po Pb 88 57 25 Nmv Nmb Nmv Npc 34 20 Nmp Nmp 28 o Nmv 37 Pb Nmb 35 Qo Nmp 30 3 Slate Range Crossing Map Area with 7.5’ quadrangle boundaries Ballarat Qo Qo 0 80 ( 15 63 Qps @ 40°N Veeta Mine Qo Nmb 00 5400 00 59 41 Nmp @ Kic Nmb 40 Pb ( Nmb @ Qa Qa 32 North Ruth Spring 22 Qo 50 3600 Kap 40 78 25 Qa @ 00 4 80 64 QNpa 40 53 Nmb 64 Nmv @ Msr Qy 34 Qc 0 00 42°N 0 40 12 50 LL 4800 @ 57 ( Qa Qa 2800 320 o 54 Qa VA 0 Cr n a C 25 26 53 40 Nmv j j jÜ 34 30 66 68 Jam 2800 00 34 56 62 55 19 Qy 00 Qc ow yo n @ 74 Qo 28 Qo 3800 @ @ Qo 42 o o o Qa 40 2400 Msr 30 10 15 74 Nmv Nmv RA Qa S 00 14 @ 58 @ @ @ 34 Qa Qo Pb 66 32 Pb 2600 0 360 84 30 Nmr 15 54 Qa @ Nmv @ 35 LE 40 @ 17 Qo Jmc Ar/39Ar samples from Andrew and Walker (2009) 40 _ ^ peraluminous facies – Light gray, medium to coarse-grained, equigranular granite which locally contains abundant red fine to coarse garnet phenocrysts. Garnet glomerocrystic clots, 1–15 mm in diameter, are locally common. This unit intrudes Copper Queen Canyon granite to the south of the map area and was interpeted by Moore (1976) to intrude the Stockwell Diorite. The unit has few, if any, deformation textures and thus weathers into large well-rounded boulders. Jcp Exposures of single rock type breccia deposits of two different compositions occur at several small inselbergs. These breccia deposits are interpreted as landslide deposits because they are unsorted and have cataclastic-like textures with relatively angular clasts. These are exposed only north of Highway 178 and are not in contact with any other Neogene units, although they are exposed within ~500 m of the exotic clast conglomerate described below. The dip of the nearby Miocene conglomerates projects below these breccia deposits so these breccia deposits are probably younger. The two types are as follows: Qp QNpa Nmv Nmb Nmb Nmv Pb 25 88 37 jÜ Nmb Qy ¹ o o¹ o o o o 37 35 Qo Nmb Nmv @ k Monolithic breccia deposits QNpa QNpa @ Po 00 4 36 3600 00 00 54 0 40 n yo 00 38 0 Can @ Pb Qo 32 Ruth Mine @ 90 Nmv Nma Nmb Qp AR Qo 4000 @ 49 2600 0 480 420 520 od Qo 4600 0 Qo Qo @ Qa 48 Nmb Nmb Nmv 77 33 Nmm Msr Nmp @ Qy @ Nmp Nmm 12 k 60 Qo @ Fold axis Nmp 40 o QNpa 59 Po Qa Nmb",Permian,
Ja,syntectonic alaskite,"Fine-grained alaskite with cataclastic foliation after Moore (1976). This unit occurs in the immediate hanging wall of the Argus-Sterling thrust. Its deformation fabrics are variable from strong foliations to mortar textures and local chlorite metamorphism. A sample from this unit has a U-Pb zircon age of 187 ± 1 Ma (Dunne and Walker, 2004).",Jurassic,
Jmp,Maturango Peak quartz monzonite,"Quartz monzonite with abundant, coarse, pink potassium feldspar phenocrysts (Moore, 1976). This unit has abundant ductile shear fabrics in it and these zones also have abundant green chlorite-rich zones. This rock has a U-Pb zircon age of ca. 160 Ma (Chen and Moore, 1979) from a sample farther north in the Argus Range. Jhm",Jurassic,
Jm,mylonite,"Green, chlorite-rich mylonite in the Argus Range. The protoliths for this unit are interpreted to be Jurassic plutonic rocks. This has a steep to moderate westward dipping foliation and abundant shallowly-plunging, north-trending lineations. The sense of shear is dextral. This chlorite-grade ductile deformation has been locally reactivated by brittle deformation under oxidizing conditions, with normal-sense movement.",Jurassic,
Jva,meta-andesite,"Medium to dark gray-green, massive, non-porphyritic rocks with a dioritic or andesitic composition. Moore (1976) interpreted these as andesite flows based on the obvious volcanic features and textures of nearby rocks and reported observations of volcanic breccia and tuff interbeds, neither of which were seen by the current author. Moore (1976) also mapped a fine-grained diorite pluton along this belt of rocks, which has similar mineralogy and textures. These igneous units are grouped together because of a lack of easily visible differences in the field and the strong metamorphism that often obscures definitive protolith interpretation. These are interpreted to be Late Jurassic, similar to rocks found in the nearby southern Slate Range (Dunne and Walker, 2004) and in the southeastern Panamint Range (Andrew, 2002).",Jurassic,
Jc,Copper Queen Canyon Granite,"Light pink, coarse-grained alaskitic granite that occurs throughout the Slate Range. This rock has a distinctive appearance in hand sample, an irregular mosaic of quartz and feldspar (Moore, 1976). A sample of this unit from Dunne and Walker (2004) has a U-Pb zircon age of 159 ± 1 Ma. 42 @ ( Nmb Nmm 66 Jmc Qo 600 @ H 40 Nmb k o Msr m Nmb Mp Nma 31 Nmv Nmp Nmv 30 Qo 39 Nmv Nmp @ 3000 @ 64 Qa 00 30 00 32 0 60 Parsons Spring @ @ AS j 32 Ps Pb 65 o ¹ o 78 40 @ @ Nmv 57 50 00 @ 45 @ 26 @ 63 @ 81 Nmp Ps Nmm 70 Nmb Nmv o o o Qo 53 Pb 76 63 8 Nmb Nma Nmv Nmm 3400 Qa 72 82 Ps o o jj j Nmb 2800 Nmb 23 QNpa Nma 28 Nmp @ ¹ 77 Nma Nmv Jam 70 Ü Qo j j o j jj o Ps Ps Nmv Nmv ¹ 00 Nmm 52 Qp @ 0 77 Nmg Qe Nmm 240 49 Nmb Nma Nmp Nmb joo Qc 9 57 Nmb Nmv Nmb 67 42 Nmp Nmv Nma 40 Nma Qo Nmg QNpa Nmi 25 Saint Patrick Mine 30 LM96-2 QNpa Nmv 16 00 3400 Joint LM96-2 Nmp Nmp Nmv Nmv Qc 67 28 Üj jjÜ Orondo 0 73 Mine 38056 14 58 Jcq Geochronology samples Nmv Nmb 75 Qc 60 @ 28 27 45 7.13 ± 2.05 Nmb Nmb Nmp Qc 28 o oj 82 Nma 16 46 Nmv Nmp Jam Nmp Nmv Nmb Qo Nmp 28 Nmg 47 61 75 Ps Nmp j ¹ j Jmc 76 @ Qc Nmb o o¹ Nma Nma 00 00 3800 5560 122°W @ @ @ o @ Qc Nmv QNpa 38 65 34 79 Nmv Nmp Qo Nmb Qo Axial planar cleavage ä é Ú Nmv Nmb 00 47 20 00 Nma 00 Pcq Qc Nmv @ 45 Ü Nmv Nmb Nmg Jam 31 74 Nmm 28 j 30 @ Nmm Nmb @",Jurassic,
Qp,pluvial,"Light-colored, well-sorted, unconsolidated silt and clay deposited in active playa lakes. Qo QNpa Nmj @ @ 40 34 460 5400 @ 0 500 5400 50 26 37 s Jsa 60 Npb 36°00' N 64 68 Qa Qo @ Nma 0 ¹ 36°03' N Npl Qp Qpl Nmd @ 75 4 QNpa Qo Qa 280 25 Qo QNpa Qy @ Qo Jhm @ 63 @ 45 Jhm 10 Nma ( 5200 ¹ 5800 68 m Qa @ QNpa Nma Nmv j 5200 Nma Jhm ¹ Ú 8 0 52 30 Qa Qy @ @ Nmj Nma 38 50 @ @ @ Qo Nma 54 80 @ Qy Qo Jhm 41 49 @",Holocene,
Ji,quartz monzonite of Isham Canyon,"Light gray, biotite-bearing, medium-grained, equigranular quartz monzonite. Moore (1976) interpreted this unit to intrude the Stockwell Diorite but the U-Pb zircon age of the quartz monzonite of Isham Canyon is 166 ± 9 Ma (Dunne and Walker, 2004). The sample used for this age analysis is interpreted to have been switched with the sample for the Stockwell Diorite that gave an age of 100 ± 3 Ma. These samples were collected at the same locality and have similar sample labels. Examination of the archived mineral separates indicates a more felsic rock for the younger sample, thus the quartz monzonite of Isham Canyon is Cretaceous.",Cretaceous,
Npc,conglomerate of Manly pass,"Dissected, poorly sorted conglomerate. The clasts are of Mesozoic intrusive and late Paleozoic sedimentary units that indicate local derivation due to uplift of the central Slate Range by the Manly Pass fault (Moore, 1976). 7.13 ± 2.05 Nmv oo 27 6 Nmp Nmp 00 @ @ 31 Nmv Nmb ^ _ Pcq 45 29 Nmv 13.12 ± 0.77 Nmb Jmc 0 0 556 ( n 0 440 SR012-05-01B 35°54' N j j yo 5800 6000 83 00 23 00 0 480 Qy",Pliocene,
Ps,siltstone,"Sequence of tan-weathering, massive-appearing, calcareous siltstone and meta-siltstone that occurs below the Conglomerate Mesa Formation (Stone, 1984). This unit is >200 m thick and the base is not exposed. It is similar to a unit below the Conglomerate Mesa Formation farther north in the Argus Range (Moore, 1976; Stone, 1984). This unit is brecciated, metamorphosed and altered so that sedimentary textures are rare. The upper 150 m have irregularly spaced layers of chert- and quartzite-pebble conglomerate and quartzite. Pd",Permian,
Msr,Santa Rosa Formation,"Massive, light-gray metalimestone with minor amounts of chert. This occurs conformably beneath Pennsylvanian units (Moore, 1976; Stone, 1984). Thickness is 180–210 m. Mp",Mississippian,
Tl?,OLDER MASS WASTING DEPOSITS,Several distinctly different mass wasting deposits occurring in 3 areas: Qy SR12-02-01E @ 40 00 Pb Jma Jmf Nmg Nmb @ Qo Nmq Nmb 28 ¹ Jmc,Pliocene,
Tl,megabreccia of clasts of Johnnie Formation,"Unsorted, coarse-grained, monolithologic deposit of green-gray, meta-calcsilicates laminated on a centimeter-scale with gray silica-rich layers all of which has a strong ductile deformation fabric. Clasts range from 1–2 m angular boulders to cobble and pebble sizes. These clasts are correlated to the Neoproterozoic Johnnie Formation present in the western Panamint Range (Andrew and Walker, 2009), although they may correlate to the middle member of the Noonday Dolomite in the Panamint Range.",Miocene,
